fecha,CVE_ENT,def_registradas
2020-02-05,10,28
2020-02-05,11,115
2020-02-05,12,34
2020-02-05,13,48
2020-02-05,14,159
2020-02-05,15,222
2020-02-05,16,84
2020-02-05,17,39
2020-02-05,18,14
2020-02-05,19,94
2020-02-05,20,59
2020-02-05,21,128
2020-02-05,22,34
2020-02-05,23,16
2020-02-05,24,49
2020-02-05,25,55
2020-02-05,26,55
2020-02-05,27,49
2020-02-05,28,68
2020-02-05,29,24
2020-02-05,30,170
2020-02-05,31,41
2020-02-05,32,31
2020-02-06,01,15
2020-02-06,02,82
2020-02-06,03,11
2020-02-06,04,18
2020-02-06,05,56
2020-02-06,06,10
2020-02-06,07,74
2020-02-06,08,85
2020-02-06,09,228
2020-02-06,10,33
2020-02-06,11,142
2020-02-06,12,48
2020-02-06,13,39
2020-02-06,14,128
2020-02-06,15,238
2020-02-06,16,77
2020-02-06,17,41
2020-02-06,18,20
2020-02-06,19,75
2020-02-06,20,71
2020-02-06,21,139
2020-02-06,22,39
2020-02-06,23,21
2020-02-06,24,56
2020-02-06,25,36
2020-02-06,26,72
2020-02-06,27,49
2020-02-06,28,57
2020-02-06,29,26
2020-02-06,30,122
2020-02-06,31,43
2020-02-06,32,21
2020-02-07,01,24
2020-02-07,02,81
2020-02-07,03,16
2020-02-07,04,11
2020-02-07,05,57
2020-02-07,06,15
2020-02-07,07,56
2020-02-07,08,85
2020-02-07,09,230
2020-02-07,10,34
2020-02-07,11,128
2020-02-07,12,37
2020-02-07,13,60
2020-02-07,14,147
2020-02-07,15,235
2020-02-07,16,69
2020-02-07,17,34
2020-02-07,18,13
2020-02-07,19,96
2020-02-07,20,68
2020-02-07,21,131
2020-02-07,22,44
2020-02-07,23,25
2020-02-07,24,50
2020-02-07,25,54
2020-02-07,26,67
2020-02-07,27,42
2020-02-07,28,46
2020-02-07,29,23
2020-02-07,30,137
2020-02-07,31,32
2020-02-07,32,34
2020-02-08,01,18
2020-02-08,02,58
2020-02-08,03,12
2020-02-08,04,22
2020-02-08,05,55
2020-02-08,06,17
2020-02-08,07,61
2020-02-08,08,74
2020-02-08,09,229
2020-02-08,10,30
2020-02-08,11,120
2020-02-08,12,37
2020-02-08,13,50
2020-02-08,14,156
2020-02-08,15,262
2020-02-08,16,91
2020-02-08,17,39
2020-02-08,18,16
2020-02-08,19,110
2020-02-08,20,74
2020-02-08,21,124
2020-02-08,22,49
2020-02-08,23,23
2020-02-08,24,49
2020-02-08,25,36
2020-02-08,26,70
2020-02-08,27,30
2020-02-08,28,65
2020-02-08,29,17
2020-02-08,30,153
2020-02-08,31,42
2020-02-08,32,40
2020-02-09,01,32
2020-02-09,02,70
2020-02-09,03,13
2020-02-09,04,12
2020-02-09,05,63
2020-02-09,06,16
2020-02-09,07,80
2020-02-09,08,85
2020-02-09,09,225
2020-02-09,10,29
2020-02-09,11,141
2020-02-09,12,29
2020-02-09,13,49
2020-02-09,14,165
